Database,Cell type,Protein count,,,,
PaxDb,Monocyte,4955,,,,
PaxDb,B cell,8859,,,,
PaxDb,NK,8425,,,,
PaxDb,CD4,7306,,,,
PaxDb,CD8,10458,,,,
GPMDB,Platelet,2712,,,,
GPMDB,Erythrocyte,128,,,,
PXD040957,Macrophage,6327,,,,
PXD040957,CD8,7230,,,,
PXD025174,CD4,5325,,,,
PXD025174,CD8,5257,,,,
PXD004352,B cell,8282,,,,
PXD004352,CD4,9111,,,,
PXD004352,CD8,8531,,,,
PXD004352,DC,7735,,,,
PXD004352,Erythrocyte,722,,,,
PXD004352,Basophil,7631,,,,
PXD004352,Eosinophil,7222,,,,
PXD004352,Neutrophil,6741,,,,
PXD004352,Monocyte,8412,,,,
PXD004352,NK,8220,,,,
PXD004352,Platelet,3971,,,,
